age[Gyr], mean[N/Gyr/pc^3], stdev[N/Gyr/pc^3]
6.850000000000001921e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.095000000000000417e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000611e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000999e-01,2.768377921300406441e-03,7.259836239710821106e-05
3.375000000000000777e-01,1.556294596016671080e-03,8.696858705744947148e-05
4.700000000000000844e-01,2.555235869003080317e-03,5.238232497518283076e-06
6.450000000000002398e-01,8.898399241508074368e-04,9.450294973097052786e-05
8.650000000000004352e-01,5.628481170135643270e-04,5.533903774573179911e-05
1.100000000000000755e+00,6.626374368605572693e-04,5.140993764243830363e-05
1.320000000000000728e+00,9.002844245487789466e-04,6.522497703860167516e-06
1.520000000000001128e+00,1.113940396280555141e-03,6.625461413434790170e-05
1.705000000000001181e+00,1.089719060408998177e-03,4.450367575386262014e-05
1.885000000000001341e+00,9.955697969248312150e-04,4.990868531592879934e-05
2.065000000000001279e+00,9.693928678498978666e-04,6.982477274437635494e-05
2.245000000000001883e+00,1.125270768335958271e-03,3.633103042734417724e-04
2.425000000000001599e+00,4.439748003367642842e-04,4.318404662729268028e-04
2.600000000000001865e+00,7.956941484902158664e-05,1.655463709391650487e-04
2.770000000000002238e+00,3.980058062958757371e-05,4.953765491088329970e-05
2.940000000000002611e+00,8.212838087258533923e-05,9.465511855018592460e-05
3.110000000000002540e+00,1.571054102202338340e-04,1.454201237927566989e-04
3.275000000000002576e+00,2.375596922034129766e-04,1.265363255058976632e-04
3.435000000000002718e+00,3.025741677232559180e-04,1.320033094009054526e-04
3.595000000000002860e+00,3.964901738397350810e-04,7.742717933269745753e-05
3.750000000000003109e+00,6.223710717094349748e-04,1.274241199202280227e-04
3.900000000000003020e+00,4.642616569545700007e-04,2.424795114103356228e-05
4.050000000000003375e+00,5.308103763478707769e-04,1.411311980586096683e-05
4.200000000000002842e+00,6.011077761245760959e-04,9.137216942577168965e-05
4.350000000000003197e+00,5.548774035672777473e-04,6.458166016421829168e-05
4.500000000000003553e+00,3.922227967327270070e-04,5.683036780262800422e-05
4.655000000000003801e+00,4.165840076740913510e-04,1.146381567953568047e-04
4.825000000000003730e+00,3.305740387788017130e-04,6.728467009805724449e-05
5.020000000000003126e+00,2.978400156012629653e-04,4.587514482201951981e-05
5.250000000000004441e+00,3.127009037878302313e-04,4.672906709036662743e-05
5.540000000000004476e+00,2.560669081518852333e-04,2.694112909818165358e-05
5.945000000000004725e+00,2.435142238958781422e-04,2.369456244995190892e-05
6.560000000000004938e+00,1.822711110685629199e-04,2.207744587718410434e-05
7.445000000000005613e+00,1.611542425044676743e-04,2.490384307764193471e-05
8.365000000000005542e+00,1.377802065844131762e-04,1.624375546706956146e-05
9.050000000000007816e+00,1.861895098957214189e-04,2.349482946631795995e-05
9.520000000000006679e+00,2.582960314112190390e-04,4.193621951306935594e-05
9.870000000000008100e+00,2.606934719416346903e-04,2.587207802549071014e-05
1.015500000000000824e+01,3.971705049908349225e-04,6.487720872978041732e-05
1.040000000000000924e+01,4.264051328083781536e-04,5.743885777711095914e-05
1.062000000000000810e+01,5.888570079525249539e-04,9.415365264789848443e-05
1.082000000000000917e+01,7.026466672356200755e-04,7.566884769074273571e-05
1.101000000000000867e+01,7.954494936814890740e-04,7.709868105014287560e-05
1.120000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.139500000000001023e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.161000000000001009e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.186000000000001009e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.214500000000001023e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.245000000000000995e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.275500000000000966e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.305000000000001137e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.333000000000001251e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.359000000000001052e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.382500000000001172e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.396500000000001052e+01,0.000000000000000000e+00,0.000000000000000000e+00
